"UID","Title","Service","Type","Date Initiated","Date Resolved","Action Taken",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8420"", ""8420"")","Remove admin access for GMH and BHIP consults","","02. Consult Service - Access/Alerts","12/27/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8419"", ""8419"")","Karri Kennedy request to remove consult access as no longer a surrogate","","02. Consult Service - Access/Alerts","12/27/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8417"", ""8417"")","CPRS training","","13. CPRS Training (Self-Paced)","12/26/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8415"", ""8415"")","Consult access","","02. Consult Service - Access/Alerts","12/26/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8414"", ""8414"")","Equipment Disassembly for Transport","","12. Other Request or Inquiry","12/26/2023","12/26/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8413"", ""8413"")","12/26/23 CONSULT SERVICE ACCESS SURGERY UROLOGY","","02. Consult Service - Access/Alerts","12/26/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8412"", ""8412"")","PLA2R Order update","","06. CPRS Menu, Order, or Order Set - Change","12/26/2023","12/26/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8411"", ""8411"")","Adding hospice consult to Geriatric SW consult","","05. Consult Service - Template","12/26/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8410"", ""8410"")","CPRS Training - Anderson","","13. CPRS Training (Self-Paced)","12/26/2023","12/26/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8409"", ""8409"")","Consult Service - Access/Alerts","","02. Consult Service - Access/Alerts","12/26/2023","12/26/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8408"", ""8408"")","ACTION-VA-Long COVID-19 Batch Questionnaire Template (Clinical Reminder Update_2_0_402)","","15. **FOR CAC USE ONLY**","12/26/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8407"", ""8407"")","Vallot--pleae remove these alerts.","","02. Consult Service - Access/Alerts","12/22/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8406"", ""8406"")","Separate PACT SW Consult from Social Work Services Consult (Fairfield-Mare Island)","","03. Consult Service - Change","12/22/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8405"", ""8405"")","Nursing Skilled Consults","","02. Consult Service - Access/Alerts","12/22/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8404"", ""8404"")","Consult access for new Dentist","","02. Consult Service - Access/Alerts","12/22/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8403"", ""8403"")","Access to receive, complete, change skilled home health consult","","02. Consult Service - Access/Alerts","12/22/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8402"", ""8402"")","Unable to view processed alerts in CPRS","","12. Other Request or Inquiry","12/22/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8400"", ""8400"")","Dr. Vicky Chen unable to link note to consult","","12. Other Request or Inquiry","12/22/2023","12/22/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8399"", ""8399"")","Dr. Vasanthi Krishna is Unable to Complete a Note","","12. Other Request or Inquiry","12/22/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8398"", ""8398"")","New Pain Dr. Majid Ashfaq access to Pain Consults","","02. Consult Service - Access/Alerts","12/22/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8397"", ""8397"")","change hcc provider note template","","09. Note - Template Request","12/22/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8396"", ""8396"")","additional holter access requests for new contract ECG MIT","","02. Consult Service - Access/Alerts","12/22/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8395"", ""8395"")","STAT Request - A new Linezolid Auto-approval Menu for Outpatient","","07. CPRS Menu, Order, or Order Set - New","12/21/2023","12/26/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8394"", ""8394"")","Inactivation? MH GMH INTERPERSONAL THERAPY NORCAL 612 OUTPT","","12. Other Request or Inquiry","12/21/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8393"", ""8393"")","revise/few changes to GI Nursing Pre-Procedure Note","","09. Note - Template Request","12/21/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8392"", ""8392"")","Consult for ENT clinic","","05. Consult Service - Template","12/21/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8391"", ""8391"")","PCA order verbiage - CP","","06. CPRS Menu, Order, or Order Set - Change","12/21/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8390"", ""8390"")","Add Consult Service to Contract Wong, David (testudo Logistics Llc) <DAVID.WONG5@va.gov>","","02. Consult Service - Access/Alerts","12/21/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8389"", ""8389"")","ICU Central Line Removal Standardized Order - CP","","07. CPRS Menu, Order, or Order Set - New","12/21/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8388"", ""8388"")","Missing lab view alerts: Sekhon","","12. Other Request or Inquiry","12/21/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8387"", ""8387"")","ED Menu CRP","","06. CPRS Menu, Order, or Order Set - Change","12/21/2023","12/26/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8386"", ""8386"")","Drop Down Facility Names","","09. Note - Template Request","12/21/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8385"", ""8385"")","Vallot--need to remove these alerts","","02. Consult Service - Access/Alerts","12/21/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8384"", ""8384"")","update new clinical GAP reminders","","01. Clinical Reminder - Troubleshooting/Questions","12/21/2023","12/28/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8383"", ""8383"")","Request to remove PADR language in buprenorphine SA inj order sets","","06. CPRS Menu, Order, or Order Set - Change","12/21/2023","12/22/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8382"", ""8382"")","Vallot--please add these alerts","","02. Consult Service - Access/Alerts","12/21/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8381"", ""8381"")","LR BOLUS","","06. CPRS Menu, Order, or Order Set - Change","12/20/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8380"", ""8380"")","New Consult - Yountville Mental Health","","04. Consult Service - New","12/20/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8378"", ""8378"")","ACTION-VA-SCI/D Center Annual Evaluation Outreach Dialog Template (Clinical Reminder Update_2_0_401)","","15. **FOR CAC USE ONLY**","12/20/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8377"", ""8377"")","Requesting Imaging Notification Alert","","08. Note - New Title","12/20/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8375"", ""8375"")","Need Access to FF Physical Therapy Consults","","02. Consult Service - Access/Alerts","12/20/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8374"", ""8374"")","Please update URL in CPRS Tools menu item hyperlink","","06. CPRS Menu, Order, or Order Set - Change","12/20/2023","12/22/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8372"", ""8372"")","CPRS Training, Page, B","","13. CPRS Training (Self-Paced)","12/20/2023","12/21/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8371"", ""8371"")","Please update link in State Prescription Drug Monitoring Program note template","","09. Note - Template Request","12/20/2023","12/26/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8369"", ""8369"")","For infertility: Patient requires 2 abnormal semen analysis separated by at least 2 months before re","","02. Consult Service - Access/Alerts","12/20/2023","12/20/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8368"", ""8368"")","Vasudevan CPRS","","13. CPRS Training (Self-Paced)","12/20/2023","12/21/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8367"", ""8367"")","EDRADAN, MELODY REQUEST TO REMOVE ALERTS","","02. Consult Service - Access/Alerts","12/20/2023","12/21/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8366"", ""8366"")","Please edit State Prescription Drug Monitoring Program template","","09. Note - Template Request","12/20/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8365"", ""8365"")","Group Notes Clinic","","11. Group Notes Clinic Addition","12/20/2023","12/22/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8364"", ""8364"")","CPRS Training, Thomas-Toppin, B","","13. CPRS Training (Self-Paced)","12/20/2023","12/21/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8363"", ""8363"")","Group Notes Clinics","","11. Group Notes Clinic Addition","12/20/2023","12/26/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8362"", ""8362"")","CPRS Training, Wolff, A","","13. CPRS Training (Self-Paced)","12/20/2023","12/26/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8361"", ""8361"")","CPRS Training - Aying, S","","13. CPRS Training (Self-Paced)","12/20/2023","12/26/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8359"", ""8359"")","EDRADAN CPRS ALERT REQUEST","","02. Consult Service - Access/Alerts","12/20/2023","12/21/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8358"", ""8358"")","Remove view alerts","","02. Consult Service - Access/Alerts","12/20/2023","12/21/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8357"", ""8357"")","Add Access to consult","","02. Consult Service - Access/Alerts","12/20/2023","12/21/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8356"", ""8356"")","Access to consult administrative closing","","14. ***CPRS 32B Issue Reporting***","12/20/2023","12/20/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8355"", ""8355"")","Joaquin A. Ramirez unable to sign CPRS notes","","12. Other Request or Inquiry","12/20/2023","12/20/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8354"", ""8354"")","Data Request","","12. Other Request or Inquiry","12/20/2023","12/20/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8353"", ""8353"")","Harrington - CPRS Alert Removal Request","","02. Consult Service - Access/Alerts","12/20/2023","12/21/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8351"", ""8351"")","Vallot--updating CPRS alerts","","02. Consult Service - Access/Alerts","12/20/2023","12/21/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8350"", ""8350"")","Access to STN GMH consults","","02. Consult Service - Access/Alerts","12/20/2023","12/21/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8349"", ""8349"")","Vallot--updating CPRS alerts","","02. Consult Service - Access/Alerts","12/20/2023","12/20/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8348"", ""8348"")","Scheduling Contact Note Update","","09. Note - Template Request","12/19/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8347"", ""8347"")","holter and treadmill consult access for contract ECG tech","","02. Consult Service - Access/Alerts","12/19/2023","12/21/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8346"", ""8346"")","Add UROLOGY OUTPT (SAC) RfR Template to the UROLOGY OUTPT (MTZ) Consult. Assign to Shelly.""","","05. Consult Service - Template","12/19/2023","12/20/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8345"", ""8345"")","Vallot--updating CPRS alerts","","02. Consult Service - Access/Alerts","12/19/2023","12/19/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8344"", ""8344"")","***NEW*** V21 CRH PAIN GROUP NOTES (X2)","","15. **FOR CAC USE ONLY**","12/19/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8343"", ""8343"")","Vallot--CPRS Alert Request","","02. Consult Service - Access/Alerts","12/19/2023","12/19/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8341"", ""8341"")","remove CSP PCAFC home care assessment","","02. Consult Service - Access/Alerts","12/19/2023","12/19/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8340"", ""8340"")","disable some note titles for HCC SW","","10. Note - Title Change","12/19/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8339"", ""8339"")","add template to hcc dishcarge summary","","09. Note - Template Request","12/19/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8338"", ""8338"")","Create new note title: ""CLC/CREC Respite Social Work Multidisciplinary Care Conference Note""","","08. Note - New Title","12/19/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8337"", ""8337"")","Create new note title: ""CLC/CREC Respite Social Work Discharge Planning Note""","","08. Note - New Title","12/19/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8336"", ""8336"")","Create new note title: ""CLC/CREC Respite Social Work Telephone Note""","","08. Note - New Title","12/19/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8335"", ""8335"")","Creation of note title: ""CLC/CREC Respite Social Work Progress Note""","","08. Note - New Title","12/19/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8334"", ""8334"")","BHIP CONSULT","","04. Consult Service - New","12/19/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8333"", ""8333"")","Creation of note title: ""CLC/CREC Respite Social Work Initial Psychosocial Assessment""","","08. Note - New Title","12/19/2023","12/27/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8331"", ""8331"")","remove cprs view alerts","","02. Consult Service - Access/Alerts","12/19/2023","12/19/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8330"", ""8330"")","Non mandatory alerts turned off and still show up on alerts","","12. Other Request or Inquiry","12/19/2023","12/19/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8327"", ""8327"")","CTX MHBM IFC RESIDENTIAL CARE SCREENING MH-RRTP-IFC","","04. Consult Service - New","12/19/2023","12/19/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8323"", ""8323"")","Harrington- consult alerts in CPRS request","","02. Consult Service - Access/Alerts","12/19/2023","12/19/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8322"", ""8322"")","New Consult Service Request for Stockton Dental","","04. Consult Service - New","12/19/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8320"", ""8320"")","add access to V21 CRH PULMONARY IFC","","12. Other Request or Inquiry","12/19/2023","12/19/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8319"", ""8319"")","HOPTEL","","03. Consult Service - Change","12/19/2023","12/19/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8318"", ""8318"")","RESULT LETTER QUESTION","","12. Other Request or Inquiry","12/19/2023","12/28/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8315"", ""8315"")","Other request or inquiry","","12. Other Request or Inquiry","12/18/2023","12/19/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8314"", ""8314"")","need access to CONSULTS for PLASTIC SURGERY Service, MTZ Martinez VA","","02. Consult Service - Access/Alerts","12/18/2023","12/19/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8312"", ""8312"")","Dr Celeste Chang Request for PAVA CPRS access","","12. Other Request or Inquiry","12/18/2023","12/18/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8308"", ""8308"")","New PA Ortho Access","","12. Other Request or Inquiry","12/18/2023","12/19/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8307"", ""8307"")","Autoprint","","12. Other Request or Inquiry","12/18/2023","12/18/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8306"", ""8306"")","Audio Notes Printing Blank","","12. Other Request or Inquiry","12/18/2023","12/18/2023","Completed",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8305"", ""8305"")","Vista Imaging list does not show. Supervisor R.O.I","","12. Other Request or Inquiry","12/18/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8301"", ""8301"")","Add Item to ED After-Hours Omnicell Menu","","06. CPRS Menu, Order, or Order Set - Change","12/18/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8299"", ""8299"")","Device implant warning error.","","14. ***CPRS 32B Issue Reporting***","12/18/2023","","",
"=HYPERLINK(""https://leaf.va.gov/VISN21/vanchcs/mac_clinical_informatics/?a=printview&recordID=8296"", ""8296"")","Setup Incoming Dental IFC from Fresno and Reno","","03. Consult Service - Change","12/18/2023","12/18/2023","Completed",
